augmented,splits,batch_size,learning_rate,feature_extractor,model_creator,loss,segment_accuracy,track_accuracy,recall,f1
False,10,256,0.0001,compute_spectral_features,create_random_forest,,0.43354192,0.4680851063829787,0.4413003884879262,0.4263843893109678
False,10,256,0.0001,compute_spectral_features,create_svm,,0.4379224,0.4868585732165206,0.4447928983274545,0.4334400000399748
False,10,256,0.0001,compute_spectral_features,create_simple_feedforward_model,1.6046113,0.43667084,0.4831038798498123,0.4457799232764605,0.4284759274712522
False,10,256,0.0001,compute_tempo_features,create_random_forest,,0.21013767,0.2828535669586984,0.2080304832141806,0.2044602428462452
False,10,256,0.0001,compute_tempo_features,create_svm,,0.19574468,0.2240300375469336,0.1895679533552243,0.1673077394026378
False,10,256,0.0001,compute_tempo_features,create_simple_feedforward_model,1.9953034,0.23692115,0.2565707133917397,0.2311298599473077,0.2004189929021453
True,10,256,0.0001,compute_spectral_features,create_random_forest,,0.40325406,0.4392991239048811,0.410393381164111,0.3939389222533745
True,10,256,0.0001,compute_spectral_features,create_svm,,0.40250313,0.4405506883604506,0.4101944024144611,0.39373252847954
True,10,256,0.0001,compute_spectral_features,create_simple_feedforward_model,1.6777844,0.38973716,0.4117647058823529,0.3997601753692947,0.3757146638798025
True,10,256,0.0001,compute_tempo_features,create_random_forest,,0.20237797,0.2803504380475594,0.2006125769241585,0.1964186145041598
True,10,256,0.0001,compute_tempo_features,create_svm,,0.19486858,0.2127659574468085,0.1880251779224351,0.1480197668409467
True,10,256,0.0001,compute_tempo_features,create_simple_feedforward_model,2.0067277,0.23116395,0.2590738423028786,0.22463675483821,0.1916989940218429
False,10,256,0.0001,compute_chromagram,create_densenet,1.652228593826294,0.4132665693759918,0.490613266583229,0.42018223038977,0.4059932450790826
False,10,256,0.0001,compute_chromagram,create_complex_feedforward_model,1.906915664672852,0.2744680941104889,0.3341677096370463,0.2827137837764082,0.2591127348519126
False,10,256,0.0001,compute_chromagram,create_residual_cnn_model,1.7740099430084229,0.3394242823123932,0.3979974968710889,0.3477477084214553,0.3250914380067352
False,10,256,0.0001,compute_mel_spectrogram,create_densenet,1.3615903854370115,0.5356695652008057,0.5794743429286608,0.5421480426415284,0.5294152587369236
False,10,256,0.0001,compute_mel_spectrogram,create_complex_feedforward_model,1.7746025323867798,0.4113892316818237,0.4518147684605757,0.4207594252354356,0.4036448863399943
False,10,256,0.0001,compute_mel_spectrogram,create_residual_cnn_model,1.4122875928878784,0.511138916015625,0.5531914893617021,0.5160995643000709,0.5126286618499578
True,10,256,0.0001,compute_chromagram,create_densenet,1.665640115737915,0.4043804705142975,0.4818523153942428,0.4086258314191825,0.39828382856272215
True,10,256,0.0001,compute_chromagram,create_complex_feedforward_model,1.9248024225234985,0.2692115008831024,0.311639549436796,0.2779916409469769,0.2497784383461884
True,10,256,0.0001,compute_chromagram,create_residual_cnn_model,1.7659249305725098,0.3443053960800171,0.409261576971214,0.35260792996537804,0.32748126158165597
True,10,256,0.0001,compute_mel_spectrogram,create_densenet,1.3903648853302002,0.5230287909507751,0.574468085106383,0.5284979167247238,0.520734284833734
True,10,256,0.0001,compute_mel_spectrogram,create_complex_feedforward_model,1.869013786315918,0.37071338295936584,0.4030037546933667,0.3793400285944917,0.3612897130661572
True,10,256,0.0001,compute_mel_spectrogram,create_residual_cnn_model,1.4282969236373901,0.503379225730896,0.5456821026282853,0.5076104579337993,0.5013941636837966
